id,account,timestamp,co2,temperature,humidity,door,motion,fp2,occupancy,user_id
1,ariwells2001@gmail.com,2023-05-26 08:00:00,560.0,2297.0,4271.0,54613010.0,22018948.0,0.0,0.0,1
2,ariwells2001@gmail.com,2023-05-26 08:01:00,590.0,2297.0,4271.0,54673025.0,22078965.0,0.0,0.0,1
3,ariwells2001@gmail.com,2023-05-26 08:02:00,590.0,2297.0,4271.0,54733026.0,22138954.0,0.0,0.0,1
4,ariwells2001@gmail.com,2023-05-26 08:03:00,590.0,2297.0,4271.0,54793030.0,22198955.0,0.0,0.0,1
5,ariwells2001@gmail.com,2023-05-26 08:04:00,590.0,2297.0,4271.0,54853005.0,22258939.0,0.0,0.0,1
6,ariwells2001@gmail.com,2023-05-26 08:05:00,590.0,2297.0,4271.0,54913014.0,22318954.0,0.0,0.0,1
7,ariwells2001@gmail.com,2023-05-26 08:06:00,625.0,2297.0,4271.0,54973018.0,22378947.0,0.0,0.0,1
8,ariwells2001@gmail.com,2023-05-26 08:07:00,625.0,2297.0,4271.0,55033025.0,22438965.0,0.0,0.0,1
9,ariwells2001@gmail.com,2023-05-26 08:08:00,625.0,2297.0,4271.0,55093088.0,22499015.0,0.0,0.0,1
10,ariwells2001@gmail.com,2023-05-26 08:09:00,625.0,2297.0,4271.0,55152999.0,22558943.0,0.0,0.0,1
11,ariwells2001@gmail.com,2023-05-26 08:10:00,625.0,2297.0,4271.0,55213015.0,22618949.0,0.0,0.0,1
12,ariwells2001@gmail.com,2023-05-26 08:11:00,660.0,2297.0,4271.0,55273015.0,22678940.0,0.0,0.0,1
13,ariwells2001@gmail.com,2023-05-26 08:12:00,660.0,2272.0,4271.0,55333000.0,22738938.0,0.0,0.0,1
14,ariwells2001@gmail.com,2023-05-26 08:13:00,660.0,2272.0,4271.0,55393186.0,22799121.0,0.0,0.0,1
15,ariwells2001@gmail.com,2023-05-26 08:14:00,660.0,2272.0,4271.0,55453016.0,22858949.0,0.0,0.0,1
16,ariwells2001@gmail.com,2023-05-26 08:15:00,685.0,2272.0,4271.0,55513207.0,22918950.0,0.0,0.0,1
17,ariwells2001@gmail.com,2023-05-26 08:16:00,685.0,2272.0,4271.0,55573012.0,22978943.0,0.0,0.0,1
18,ariwells2001@gmail.com,2023-05-26 08:17:00,685.0,2272.0,4271.0,55633008.0,23038951.0,0.0,0.0,1
19,ariwells2001@gmail.com,2023-05-26 08:18:00,685.0,2272.0,4271.0,55693048.0,23098943.0,0.0,0.0,1
20,ariwells2001@gmail.com,2023-05-26 08:19:00,685.0,2272.0,4271.0,55752991.0,23158950.0,0.0,0.0,1
21,ariwells2001@gmail.com,2023-05-26 08:20:00,685.0,2272.0,4271.0,55813014.0,23218949.0,0.0,0.0,1
22,ariwells2001@gmail.com,2023-05-26 08:21:00,715.0,2272.0,4271.0,55873034.0,23278948.0,0.0,0.0,1
23,ariwells2001@gmail.com,2023-05-26 08:22:00,715.0,2272.0,4271.0,55933012.0,23338953.0,0.0,0.0,1
24,ariwells2001@gmail.com,2023-05-26 08:23:00,715.0,2272.0,4271.0,55992995.0,23398944.0,0.0,0.0,1
25,ariwells2001@gmail.com,2023-05-26 08:24:00,715.0,2272.0,4271.0,56053069.0,23458999.0,0.0,0.0,1
26,ariwells2001@gmail.com,2023-05-26 08:25:00,715.0,2272.0,4271.0,56113000.0,23518949.0,0.0,0.0,1
27,ariwells2001@gmail.com,2023-05-26 08:26:00,761.0,2272.0,4271.0,56173009.0,23578947.0,0.0,0.0,1
28,ariwells2001@gmail.com,2023-05-26 08:27:00,761.0,2272.0,4271.0,56233014.0,23638950.0,0.0,0.0,1
29,ariwells2001@gmail.com,2023-05-26 08:28:00,761.0,2272.0,4271.0,56293007.0,23698942.0,0.0,0.0,1
30,ariwells2001@gmail.com,2023-05-26 08:29:00,761.0,2272.0,4271.0,56353021.0,23758950.0,0.0,0.0,1
31,ariwells2001@gmail.com,2023-05-26 08:30:00,761.0,2272.0,4271.0,56413004.0,23818949.0,0.0,0.0,1
32,ariwells2001@gmail.com,2023-05-26 08:31:00,790.0,2272.0,4271.0,56473040.0,23878957.0,0.0,0.0,1
33,ariwells2001@gmail.com,2023-05-26 08:32:00,790.0,2272.0,4271.0,56533042.0,23938981.0,0.0,0.0,1
34,ariwells2001@gmail.com,2023-05-26 08:33:00,790.0,2272.0,4271.0,56593003.0,23998948.0,0.0,0.0,1
35,ariwells2001@gmail.com,2023-05-26 08:34:00,790.0,2272.0,4271.0,56653023.0,24058947.0,0.0,0.0,1
36,ariwells2001@gmail.com,2023-05-26 08:35:00,790.0,2272.0,4271.0,56712999.0,24118946.0,0.0,0.0,1
37,ariwells2001@gmail.com,2023-05-26 08:36:00,825.0,2272.0,4271.0,56773089.0,24179023.0,0.0,0.0,1
38,ariwells2001@gmail.com,2023-05-26 08:37:00,825.0,2272.0,4271.0,56833008.0,24238953.0,0.0,0.0,1
39,ariwells2001@gmail.com,2023-05-26 08:38:00,825.0,2272.0,4271.0,56893069.0,24299002.0,0.0,0.0,1
40,ariwells2001@gmail.com,2023-05-26 08:39:00,825.0,2272.0,4271.0,56953005.0,24358944.0,0.0,0.0,1
41,ariwells2001@gmail.com,2023-05-26 08:40:00,846.0,2272.0,4271.0,57013047.0,24418959.0,0.0,0.0,1
42,ariwells2001@gmail.com,2023-05-26 08:41:00,846.0,2272.0,4271.0,57073026.0,24478952.0,0.0,0.0,1
43,ariwells2001@gmail.com,2023-05-26 08:42:00,846.0,2272.0,4271.0,57133006.0,24538946.0,0.0,0.0,1
44,ariwells2001@gmail.com,2023-05-26 08:43:00,846.0,2272.0,4271.0,57193091.0,24599023.0,0.0,0.0,1
45,ariwells2001@gmail.com,2023-05-26 08:44:00,846.0,2272.0,4271.0,57252998.0,24658944.0,0.0,0.0,1
46,ariwells2001@gmail.com,2023-05-26 08:45:00,846.0,2272.0,4271.0,57313003.0,24718941.0,0.0,0.0,1
47,ariwells2001@gmail.com,2023-05-26 08:46:00,860.0,2272.0,4271.0,57373000.0,24778937.0,0.0,0.0,1
48,ariwells2001@gmail.com,2023-05-26 08:47:00,860.0,2272.0,4271.0,57433002.0,24838954.0,0.0,0.0,1
49,ariwells2001@gmail.com,2023-05-26 08:48:00,860.0,2272.0,4271.0,57492989.0,24898939.0,0.0,0.0,1
50,ariwells2001@gmail.com,2023-05-26 08:49:00,860.0,2238.0,4558.0,57552995.0,24958943.0,0.0,0.0,1
51,ariwells2001@gmail.com,2023-05-26 08:50:00,860.0,2238.0,4558.0,57613071.0,25019007.0,0.0,0.0,1
52,ariwells2001@gmail.com,2023-05-26 08:51:00,877.0,2238.0,4558.0,57673011.0,25078940.0,0.0,0.0,1
53,ariwells2001@gmail.com,2023-05-26 08:52:00,877.0,2238.0,4558.0,57733004.0,25138945.0,0.0,0.0,1
54,ariwells2001@gmail.com,2023-05-26 08:53:00,877.0,2238.0,4558.0,57793004.0,25198944.0,0.0,0.0,1
55,ariwells2001@gmail.com,2023-05-26 08:54:00,877.0,2238.0,4558.0,57852996.0,25258942.0,0.0,0.0,1
56,ariwells2001@gmail.com,2023-05-26 08:55:00,877.0,2238.0,4558.0,57913011.0,25318950.0,0.0,0.0,1
57,ariwells2001@gmail.com,2023-05-26 08:56:00,893.0,2238.0,4558.0,57972991.0,25378942.0,0.0,0.0,1
58,ariwells2001@gmail.com,2023-05-26 08:57:00,893.0,2238.0,4558.0,58032993.0,25438944.0,0.0,0.0,1
59,ariwells2001@gmail.com,2023-05-26 08:58:00,893.0,2238.0,4558.0,58092993.0,25498948.0,0.0,0.0,1
60,ariwells2001@gmail.com,2023-05-26 08:59:00,893.0,2238.0,4558.0,58153002.0,25558942.0,0.0,0.0,1
